code,ep,xp,pnl,pct,hd,exit,reason
002319,7.98,10.46,146334.38,0.308,27,20210823,TP_31
000875,4.89,4.42,-43302.39,-0.098,3,20210825,SL_-10
002290,5.96,7.97,87752.33,0.3344,41,20210910,TP_34
000928,7.74,10.13,117791.22,0.306,5,20210916,TP_31
000825,5.06,6.84,146629.23,0.3489,18,20210917,TP_35
002813,30.49,42.46,196142.61,0.3897,9,20210929,TP_39
002015,7.73,10.21,191874.25,0.3181,8,20211008,TP_32
000059,6.16,6.52,24948.57,0.0562,22,20211015,TRAIL_14
002658,9.94,8.69,-89206.06,-0.1276,6,20211015,SL_-13
000409,4.85,5.4,93833.66,0.1111,8,20211026,TRAIL_11
002703,6.02,5.74,-34100.48,-0.0485,15,20211115,TRAIL_11
000532,14.99,15.16,6318.58,0.0092,15,20211203,TRAIL_10
002559,5.87,7.7,144279.7,0.309,41,20211213,TP_31
002915,15.19,20.14,209675.57,0.3231,18,20220105,TP_33
002593,3.6,3.78,32934.62,0.0478,44,20220202,TRAIL_13
600620,8.57,8.85,23018.31,0.0305,39,20220228,TRAIL_14
002273,13.46,17.53,221141.62,0.2996,36,20220323,TP_30
002011,7.8,10.5,294738.22,0.3433,6,20220330,TP_35
002036,23.5,21.14,-102722.79,-0.1023,8,20220408,SL_-10
000816,3.64,3.74,19205.7,0.0253,49,20220518,TRAIL_10
000055,4.84,4.69,-31522.22,-0.033,30,20220519,TIME_30d
000676,8.62,7.6,-104066.49,-0.1202,4,20220523,SL_-12
002877,7.23,6.22,-126621.26,-0.1415,5,20220525,SL_-14
603199,20.87,18.59,-91883.39,-0.1111,5,20220527,SL_-11
